image_file,attack_type,attack_parameter,NCC,BER
00000019.png,Brightness,(1.5x),0.824738,0.208333
00000019.png,Contrast,(2.0x),0.874802,0.203125
00000019.png,Salt,& Pepper Noise,0.528619,0.359375
00000019.png,Cropping,& Padding,0.765376,0.260417
00000020.png,JPEG,Q=90,0.994387,0.046875
00000020.png,JPEG,Q=70,0.958581,0.088542
00000020.png,JPEG,Q=50,0.876797,0.192708
00000020.png,JPEG,Q=30,0.764463,0.28125
00000020.png,Gaussian,Noise σ=0.03,0.757941,0.234375
00000020.png,Rotation,10°,0.938756,0.151042
00000020.png,Tampering,,0.832841,0.203125
00000020.png,Replay,,0.814747,0.21875
00000020.png,Downgrade,(Resize),0.228159,0.447917
00000020.png,Brightness,(1.5x),0.722068,0.291667
00000020.png,Contrast,(2.0x),0.781188,0.244792
00000020.png,Salt,& Pepper Noise,0.62641,0.3125
00000020.png,Cropping,& Padding,0.768757,0.260417
00000021.png,JPEG,Q=90,0.997957,0.03125
00000021.png,JPEG,Q=70,0.959964,0.109375
00000021.png,JPEG,Q=50,0.882432,0.166667
00000021.png,JPEG,Q=30,0.805391,0.213542
00000021.png,Gaussian,Noise σ=0.03,0.743849,0.25
00000021.png,Rotation,10°,0.912992,0.140625
00000021.png,Tampering,,0.947426,0.104167
00000021.png,Replay,,0.76139,0.234375
00000021.png,Downgrade,(Resize),0.406505,0.369792
00000021.png,Brightness,(1.5x),0.722615,0.265625
00000021.png,Contrast,(2.0x),0.780798,0.234375
00000021.png,Salt,& Pepper Noise,0.596608,0.296875
00000021.png,Cropping,& Padding,0.646766,0.302083
00000022.png,JPEG,Q=90,0.995753,0.015625
00000022.png,JPEG,Q=70,0.956324,0.088542
00000022.png,JPEG,Q=50,0.897456,0.151042
00000022.png,JPEG,Q=30,0.786781,0.234375
00000022.png,Gaussian,Noise σ=0.03,0.789844,0.213542
00000022.png,Rotation,10°,0.949276,0.098958
00000022.png,Tampering,,0.970439,0.098958
00000022.png,Replay,,0.936726,0.109375
00000022.png,Downgrade,(Resize),0.33686,0.354167
00000022.png,Brightness,(1.5x),0.449802,0.395833
00000022.png,Contrast,(2.0x),0.811923,0.197917
00000022.png,Salt,& Pepper Noise,0.420973,0.364583
00000022.png,Cropping,& Padding,0.613671,0.338542
00000023.png,JPEG,Q=90,0.995875,0.041667
00000023.png,JPEG,Q=70,0.965774,0.104167
00000023.png,JPEG,Q=50,0.90451,0.145833
00000023.png,JPEG,Q=30,0.75655,0.25
00000023.png,Gaussian,Noise σ=0.03,0.784049,0.234375
00000023.png,Rotation,10°,0.949423,0.130208
00000023.png,Tampering,,0.978247,0.072917
00000023.png,Replay,,0.640273,0.328125
00000023.png,Downgrade,(Resize),0.336483,0.359375
00000023.png,Brightness,(1.5x),0.466,0.40625
00000023.png,Contrast,(2.0x),0.677603,0.322917
00000023.png,Salt,& Pepper Noise,0.535505,0.348958
00000023.png,Cropping,& Padding,0.578205,0.354167
00000024.png,JPEG,Q=90,0.998308,0.010417
00000024.png,JPEG,Q=70,0.930906,0.140625
00000024.png,JPEG,Q=50,0.853881,0.208333
00000024.png,JPEG,Q=30,0.774499,0.244792
00000024.png,Gaussian,Noise σ=0.03,0.797139,0.229167
00000024.png,Rotation,10°,0.879637,0.166667
00000024.png,Tampering,,0.827164,0.208333
00000024.png,Replay,,0.770624,0.255208
00000024.png,Downgrade,(Resize),0.298805,0.416667
00000024.png,Brightness,(1.5x),0.743748,0.270833
00000024.png,Contrast,(2.0x),0.839984,0.234375
00000024.png,Salt,& Pepper Noise,0.612925,0.348958
00000024.png,Cropping,& Padding,0.668368,0.328125
00000025.png,JPEG,Q=90,0.995559,0.036458
00000025.png,JPEG,Q=70,0.914856,0.125
00000025.png,JPEG,Q=50,0.857418,0.1875
00000025.png,JPEG,Q=30,0.778133,0.25
00000025.png,Gaussian,Noise σ=0.03,0.755221,0.239583
00000025.png,Rotation,10°,0.945179,0.151042
00000025.png,Tampering,,0.889347,0.177083
00000025.png,Replay,,0.86558,0.1875
00000025.png,Downgrade,(Resize),0.245852,0.421875
00000025.png,Brightness,(1.5x),0.644188,0.3125
00000025.png,Contrast,(2.0x),0.802352,0.223958
00000025.png,Salt,& Pepper Noise,0.64848,0.28125
00000025.png,Cropping,& Padding,0.728225,0.276042
00000026.png,JPEG,Q=90,0.99707,0.036458
00000026.png,JPEG,Q=70,0.951097,0.098958
00000026.png,JPEG,Q=50,0.900515,0.166667
00000026.png,JPEG,Q=30,0.797902,0.244792
00000026.png,Gaussian,Noise σ=0.03,0.819176,0.208333
00000026.png,Rotation,10°,0.917915,0.166667
00000026.png,Tampering,,0.82673,0.192708
00000026.png,Replay,,0.656583,0.302083
00000026.png,Downgrade,(Resize),0.284025,0.427083
00000026.png,Brightness,(1.5x),0.768803,0.25
00000026.png,Contrast,(2.0x),0.848419,0.244792
00000026.png,Salt,& Pepper Noise,0.591925,0.3125
00000026.png,Cropping,& Padding,0.730562,0.28125
00000027.png,JPEG,Q=90,0.997342,0.026042
00000027.png,JPEG,Q=70,0.944478,0.114583
00000027.png,JPEG,Q=50,0.933355,0.130208
00000027.png,JPEG,Q=30,0.862332,0.182292
00000027.png,Gaussian,Noise σ=0.03,0.706768,0.260417
00000027.png,Rotation,10°,0.920039,0.151042
00000027.png,Tampering,,0.923338,0.109375
00000027.png,Replay,,0.848792,0.208333
00000027.png,Downgrade,(Resize),0.391921,0.328125
00000027.png,Brightness,(1.5x),0.727874,0.265625
00000027.png,Contrast,(2.0x),0.812674,0.21875
00000027.png,Salt,& Pepper Noise,0.509147,0.338542
00000027.png,Cropping,& Padding,0.606147,0.364583
00000028.png,JPEG,Q=90,0.993344,0.036458
00000028.png,JPEG,Q=70,0.946933,0.098958
00000028.png,JPEG,Q=50,0.900099,0.135417
00000028.png,JPEG,Q=30,0.778762,0.208333
00000028.png,Gaussian,Noise σ=0.03,0.757717,0.239583
00000028.png,Rotation,10°,0.909259,0.135417
00000028.png,Tampering,,0.816241,0.192708
00000028.png,Replay,,0.65352,0.3125
00000028.png,Downgrade,(Resize),0.389737,0.385417
00000028.png,Brightness,(1.5x),0.596774,0.359375
00000028.png,Contrast,(2.0x),0.619877,0.3125
00000028.png,Salt,& Pepper Noise,0.522473,0.328125
00000028.png,Cropping,& Padding,0.559068,0.380208
00000029.png,JPEG,Q=90,0.99735,0.03125
00000029.png,JPEG,Q=70,0.963498,0.098958
00000029.png,JPEG,Q=50,0.909155,0.177083
00000029.png,JPEG,Q=30,0.79623,0.239583
00000029.png,Gaussian,Noise σ=0.03,0.78688,0.265625
00000029.png,Rotation,10°,0.948794,0.135417
00000029.png,Tampering,,0.86624,0.203125
00000029.png,Replay,,0.862718,0.203125
00000029.png,Downgrade,(Resize),0.250916,0.442708
00000029.png,Brightness,(1.5x),0.800102,0.239583
00000029.png,Contrast,(2.0x),0.832331,0.244792
00000029.png,Salt,& Pepper Noise,0.57953,0.338542
00000029.png,Cropping,& Padding,0.775177,0.229167
00000030.png,JPEG,Q=90,0.988464,0.052083
00000030.png,JPEG,Q=70,0.949234,0.114583
00000030.png,JPEG,Q=50,0.857125,0.203125
00000030.png,JPEG,Q=30,0.751109,0.265625
00000030.png,Gaussian,Noise σ=0.03,0.722903,0.234375
00000030.png,Rotation,10°,0.952138,0.109375
00000030.png,Tampering,,0.895463,0.140625
00000030.png,Replay,,0.815493,0.21875
00000030.png,Downgrade,(Resize),0.244455,0.427083
00000030.png,Brightness,(1.5x),0.584561,0.348958
00000030.png,Contrast,(2.0x),0.808207,0.208333
00000030.png,Salt,& Pepper Noise,0.665743,0.276042
00000030.png,Cropping,& Padding,0.750239,0.265625
